timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605995320027,76,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",add Editor 1-1,,true,,46818,2829,1,1,null,0,50,9
1605995320072,16,Get Login.aspx,200,OK,add Editor 1-1,text,true,,4662,441,1,1,http://192.168.2.4/blog/Account/login.aspx,16,0,9
1605995320092,60,Post Login.aspx,200,OK,add Editor 1-1,text,true,,42156,2388,1,1,http://192.168.2.4/blog/,17,0,0
1605995320154,9,Add new user,500,"Number of samples in transaction : 2, number of failing samples : 1",add Editor 1-1,,false,,883,2772,1,1,null,0,573,0
1605995320154,4,Get API user roles,200,OK,add Editor 1-1,text,true,,479,1263,1,1,http://192.168.2.4/blog/api/roles/getuserroles/fakeusername,4,0,0
1605995320729,5,Post new user,500,Internal Server Error,add Editor 1-1,text,false,,404,1509,1,1,http://192.168.2.4/blog/api/users,5,0,0
1605995320766,34,Get Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,31048,429,2,2,null,0,5182,1
1605995320767,34,Get HomePage,200,OK,Thread Group 1-1,text,true,,31048,429,1,1,http://192.168.2.4/blog,34,0,1
1605995325982,69,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,40636,2825,2,2,null,0,5968,0
1605995325983,5,Get Login.aspx,200,OK,Thread Group 1-1,text,true,,4662,441,2,2,http://192.168.2.4/blog/Account/login.aspx,5,0,0
1605995331954,64,Post Login.aspx,200,OK,Thread Group 1-1,text,true,,35974,2384,2,2,http://192.168.2.4/blog/,14,0,0
1605995325767,54,Get Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,31048,429,2,2,null,0,6844,3
1605995325771,54,Get HomePage,200,OK,Thread Group 1-2,text,true,,31048,429,2,2,http://192.168.2.4/blog,54,0,3
1605995332666,41,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,40636,2831,2,2,null,0,6563,0
