timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606416395483,89,Get HomePage,200,OK,Main (Anonimus) Thread Group 3-1,text,true,,31571,429,1,3,http://192.168.2.4/blog,87,0,27
1606416395482,104,Get HomePage,200,OK,Admin Thread Group 1-1,text,true,,31571,429,1,3,http://192.168.2.4/blog,104,0,28
1606416395483,89,Get HomePage,200,OK,Editor Thread Group 2-1,text,true,,31571,429,1,3,http://192.168.2.4/blog,87,0,27
1606416398392,45,Get HomePage,200,OK,Main (Anonimus) Thread Group 3-2,text,true,,31571,429,2,4,http://192.168.2.4/blog,45,0,2
1606416399598,4,Get Login.aspx,200,OK,Admin Thread Group 1-1,text,true,,4662,441,1,4,http://192.168.2.4/blog/Account/login.aspx,4,0,0
1606416400388,34,Get HomePage,200,OK,Editor Thread Group 2-2,text,true,,31571,429,2,5,http://192.168.2.4/blog,34,0,1
1606416401384,24,Get HomePage,200,OK,Main (Anonimus) Thread Group 3-3,text,true,,31571,429,3,6,http://192.168.2.4/blog,24,0,1
1606416404314,55,Post Login.aspx,200,OK,Admin Thread Group 1-1,text,true,,42679,2382,1,6,http://192.168.2.4/blog/,9,0,0
1606416404314,10,Post Login.aspx-0,302,Found,Admin Thread Group 1-1,text,true,,1287,1118,1,6,http://192.168.2.4/blog/Account/login.aspx,9,0,0
1606416404328,41,Post Login.aspx-1,200,OK,Admin Thread Group 1-1,text,true,,41392,1264,1,6,http://192.168.2.4/blog/,41,0,0
1606416399598,59,Login Admin,200,"Number of samples in transaction : 3, number of failing samples : 0",Admin Thread Group 1-1,,true,,47341,2823,1,6,null,13,4713,0
1606416404397,25,Get HomePage,200,OK,Main (Anonimus) Thread Group 3-4,text,true,,31571,429,4,7,http://192.168.2.4/blog,25,0,0
1606416405630,6,Get Login.aspx,200,OK,Editor Thread Group 2-2,text,true,,4662,441,2,7,http://192.168.2.4/blog/Account/login.aspx,6,0,0
